logz logzerr logvol nlive logl logwt insert_order
-5.753488396193388849e+07 1.527655639961248497e+06 -3.100000000000002059e-02 1.000000000000000000e+03 -5.741131641501694918e+07 -5.741132335427218676e+07 6.360000000000000098e-01
-5.741132335427218676e+07 1.547911588446746813e+06 -3.200000000000002148e-02 1.000000000000000000e+03 -5.736213907121063769e+07 -5.736214601146587729e+07 2.740000000000000213e-01
-5.736214601146587729e+07 1.555940949365468696e+06 -3.300000000000002237e-02 1.000000000000000000e+03 -5.685179650187091529e+07 -5.685180344312614948e+07 1.080000000000000071e+00
-5.685180344312614948e+07 1.631858143132198835e+06 -3.400000000000002326e-02 1.000000000000000000e+03 -5.653673875619271398e+07 -5.653674569844795018e+07 4.719999999999999751e-01
-5.653674569844795018e+07 1.788914015629125293e+06 -3.500000000000002415e-02 1.000000000000000000e+03 -5.502913738808431476e+07 -5.502914433133955300e+07 3.840000000000000080e-01
-5.502914433133955300e+07 2.146358620953092352e+06 -3.600000000000002504e-02 1.000000000000000000e+03 -5.419722200927098095e+07 -5.419722895352622122e+07 5.560000000000000497e-01
-5.419722895352622122e+07 2.452970697326589841e+06 -3.700000000000002592e-02 1.000000000000000000e+03 -5.326586775796418637e+07 -5.326587470321942121e+07 1.318000000000000060e+00
-5.326587470321942121e+07 4.390438659505180549e+05 -3.800000000000002681e-02 1.000000000000000000e+03 -5.320954496609068662e+07 -5.320955191234592348e+07 1.445999999999999952e+00
-5.320955191234592348e+07 3.625543921875001397e+05 -3.900000000000002770e-02 1.000000000000000000e+03 -5.155951163483288884e+07 -5.155951858208812773e+07 9.199999999999999845e-02
-5.155951858208812773e+07 8.191605973689093953e+05 -4.000000000000002859e-02 1.000000000000000000e+03 -5.117043066392406076e+07 -5.117043761217930168e+07 1.747999999999999998e+00
-5.117043761217930168e+07 8.651733830999591155e+05 -4.100000000000002948e-02 1.000000000000000000e+03 -5.041241618217748404e+07 -5.041242313143271953e+07 1.931999999999999940e+00
-5.041242313143271953e+07 1.002428976995730191e+06 -4.200000000000003036e-02 1.000000000000000000e+03 -4.908401512044720352e+07 -4.908402207070244104e+07 1.237999999999999989e+00
-4.908402207070244104e+07 1.261712864985705120e+06 -4.300000000000003125e-02 1.000000000000000000e+03 -4.841942655498997122e+07 -4.841943350624521077e+07 5.220000000000000195e-01
-4.841943350624521077e+07 5.753636504012004007e+05 -4.400000000000003214e-02 1.000000000000000000e+03 -4.786023475522518903e+07 -4.786024170748042315e+07 2.700000000000000178e-01
-4.786024170748042315e+07 6.984050149129439378e+05 -4.500000000000003303e-02 1.000000000000000000e+03 -4.745349453498969972e+07 -4.745350148824493587e+07 4.800000000000000100e-02
-4.745350148824493587e+07 2.936152138739014044e+05 -4.600000000000003392e-02 1.000000000000000000e+03 -4.727340687168054283e+07 -4.727341382593578100e+07 1.006000000000000005e+00
-4.727341382593578100e+07 1.662589332622257934e+05 -4.700000000000003481e-02 1.000000000000000000e+03 -4.597649893237922341e+07 -4.597650588763446361e+07 1.200000000000000025e-02
-4.597650588763446361e+07 7.284873435306418687e+05 -4.800000000000003569e-02 1.000000000000000000e+03 -4.438584075684613734e+07 -4.438584771310137212e+07 2.879999999999999782e-01
-4.438584771310137212e+07 1.276237133834974840e+06 -4.900000000000003658e-02 1.000000000000000000e+03 -4.391862162114597857e+07 -4.391862857840121537e+07 1.518000000000000016e+00
-4.391862857840121537e+07 9.061768683833476389e+05 -5.000000000000003747e-02 1.000000000000000000e+03 -4.254887754862243682e+07 -4.254888450687767565e+07 1.143999999999999906e+00
-4.254888450687767565e+07 7.313789869441743940e+05 -5.100000000000003836e-02 1.000000000000000000e+03 -4.244414545077823848e+07 -4.244415241003347933e+07 1.163999999999999924e+00
-4.244415241003347933e+07 6.910312788581058849e+05 -5.200000000000003925e-02 1.000000000000000000e+03 -4.208224603089503944e+07 -4.208225299115027487e+07 8.739999999999999991e-01
-4.208225299115027487e+07 8.420231976125772344e+05 -5.300000000000004013e-02 1.000000000000000000e+03 -4.172206050528687239e+07 -4.172206746654210985e+07 9.499999999999999556e-01
-4.172206746654210985e+07 8.937151524810825940e+05 -5.400000000000004102e-02 1.000000000000000000e+03 -4.168160926726064831e+07 -4.168161622951588780e+07 1.161999999999999922e+00
-4.168161622951588780e+07 1.082797686123058375e+05 -5.500000000000004191e-02 1.000000000000000000e+03 -4.150965311253412813e+07 -4.150966007578936219e+07 1.024000000000000021e+00
-4.150966007578936219e+07 9.714870727787380747e+04 -5.600000000000004280e-02 1.000000000000000000e+03 -4.090501454308056831e+07 -4.090502150733580440e+07 6.780000000000000471e-01
-4.090502150733580440e+07 3.145754468453397858e+05 -5.700000000000004369e-02 1.000000000000000000e+03 -3.997049032182306051e+07 -3.997049728707829863e+07 1.320000000000000062e+00
-3.997049728707829863e+07 5.432603126978442306e+05 -5.800000000000004458e-02 1.000000000000000000e+03 -3.856346096166770905e+07 -3.856346792792294919e+07 1.957999999999999963e+00
-3.856346792792294919e+07 1.037550351164921885e+06 -5.900000000000004546e-02 1.000000000000000000e+03 -3.841207687011677772e+07 -3.841208383737201244e+07 1.403999999999999915e+00
-3.841208383737201244e+07 6.806680625603914959e+05 -6.000000000000004635e-02 1.000000000000000000e+03 -3.839668139015821368e+07 -3.839668835841345042e+07 1.558000000000000052e+00
-3.839668835841345042e+07 6.820880336541663855e+05 -6.100000000000004724e-02 1.000000000000000000e+03 -3.827954217924628407e+07 -3.827954914850152284e+07 7.520000000000000018e-01
-3.827954914850152284e+07 8.105648984716350969e+04 -6.200000000000004813e-02 1.000000000000000000e+03 -3.760182192743958533e+07 -3.760182889769482613e+07 1.675999999999999934e+00
-3.760182889769482613e+07 3.982421498999426258e+05 -6.300000000000004208e-02 1.000000000000000000e+03 -3.759798543504379690e+07 -3.759799240629903227e+07 7.419999999999999929e-01
-3.759799240629903227e+07 3.993693191064473940e+05 -6.400000000000004297e-02 1.000000000000000000e+03 -3.752707855515483022e+07 -3.752708552741006762e+07 1.923999999999999932e+00
-3.752708552741006762e+07 2.411336386883379600e+05 -6.500000000000004385e-02 1.000000000000000000e+03 -3.716137535318955034e+07 -3.716138232644478977e+07 1.108000000000000096e+00
-3.716138232644478977e+07 3.515971895647221245e+05 -6.600000000000004474e-02 1.000000000000000000e+03 -3.681626596717330068e+07 -3.681627294142853469e+07 1.477999999999999980e+00
-3.681627294142853469e+07 2.198251507525204506e+05 -6.700000000000004563e-02 1.000000000000000000e+03 -3.667604772717931867e+07 -3.667605470243455470e+07 6.139999999999999902e-01
-3.667605470243455470e+07 2.551604509271776478e+05 -6.800000000000004652e-02 1.000000000000000000e+03 -3.634696612509943545e+07 -3.634697310135467350e+07 7.279999999999999805e-01
-3.634697310135467350e+07 1.622387432327856659e+05 -6.900000000000004741e-02 1.000000000000000000e+03 -3.628721925029898435e+07 -3.628722622755422443e+07 1.627999999999999892e+00
-3.628722622755422443e+07 1.640350684101362131e+05 -7.000000000000004829e-02 1.000000000000000000e+03 -3.592140807063986361e+07 -3.592141504889509827e+07 7.560000000000000053e-01
-3.592141504889509827e+07 3.267684314815197722e+05 -7.100000000000004918e-02 1.000000000000000000e+03 -3.585760574619559944e+07 -3.585761272545083612e+07 1.963999999999999968e+00
-3.585761272545083612e+07 2.262057951447279484e+05 -7.200000000000005007e-02 1.000000000000000000e+03 -3.511460121007885039e+07 -3.511460819033408910e+07 8.719999999999999973e-01
-3.511460819033408910e+07 4.897531735488433042e+05 -7.300000000000005096e-02 1.000000000000000000e+03 -3.478563661862573773e+07 -3.478564359988097847e+07 1.838000000000000078e+00
-3.478564359988097847e+07 5.500275367968758801e+05 -7.400000000000005185e-02 1.000000000000000000e+03 -3.451817766499798745e+07 -3.451818464725322276e+07 1.691999999999999948e+00
-3.451818464725322276e+07 6.019721151003158884e+05 -7.500000000000005274e-02 1.000000000000000000e+03 -3.322432234500024840e+07 -3.322432932825548574e+07 1.532000000000000028e+00
-3.322432932825548574e+07 1.046115405700915959e+06 -7.600000000000005362e-02 1.000000000000000000e+03 -3.276949442132904381e+07 -3.276950140558427945e+07 5.600000000000000533e-01
-3.276950140558427945e+07 8.117664964147764258e+05 -7.700000000000005451e-02 1.000000000000000000e+03 -3.265831298432531208e+07 -3.265831996958054975e+07 4.119999999999999774e-01
-3.265831996958054975e+07 1.563376624592371518e+05 -7.800000000000005540e-02 1.000000000000000000e+03 -3.221587764739033952e+07 -3.221588463364557549e+07 1.219999999999999973e+00
-3.221588463364557549e+07 1.915803839908880764e+05 -7.900000000000005629e-02 1.000000000000000000e+03 -3.202138828174256161e+07 -3.202139526899779961e+07 1.776000000000000023e+00
-3.202139526899779961e+07 9.588342141022931901e+04 -8.000000000000005718e-02 1.000000000000000000e+03 -3.176819073985198140e+07 -3.176819772810721770e+07 1.463999999999999968e+00
-3.176819772810721770e+07 1.814758009303600120e+05 -8.100000000000005806e-02 1.000000000000000000e+03 -3.123506115205083415e+07 -3.123506814130607247e+07 1.294000000000000039e+00
-3.123506814130607247e+07 3.667557391205084277e+05 -8.200000000000005895e-02 1.000000000000000000e+03 -3.106110045790631324e+07 -3.106110744816154987e+07 1.905999999999999917e+00
-3.106110744816154987e+07 4.146723462630161666e+05 -8.300000000000005984e-02 1.000000000000000000e+03 -3.045354713565905020e+07 -3.045355412691428885e+07 6.400000000000000133e-01
-3.045355412691428885e+07 2.910897005464030663e+05 -8.400000000000006073e-02 1.000000000000000000e+03 -3.033058724829012901e+07 -3.033059424054536596e+07 1.298000000000000043e+00
-3.033059424054536596e+07 5.324326575244017295e+04 -8.500000000000006162e-02 1.000000000000000000e+03 -2.915471505970133469e+07 -2.915472205295657367e+07 1.578000000000000069e+00
-2.915472205295657367e+07 5.091675883865325013e+05 -8.600000000000006251e-02 1.000000000000000000e+03 -2.914292794514154643e+07 -2.914293493939678371e+07 1.201999999999999957e+00
-2.914293493939678371e+07 3.276880741818904062e+05 -8.700000000000006339e-02 1.000000000000000000e+03 -2.892199837336048111e+07 -2.892200536861571670e+07 1.590000000000000080e+00
