Teff logg R Av
3.282856151999289978e+03 4.866688050105782537e+00 5.273623675803826849e-01 1.851284436356499308e+00
3.258878292745089311e+03 4.486686986548049205e+00 5.243849586992709311e-01 1.865215475634093512e+00
3.238210110898477978e+03 4.668904106172469426e+00 5.300833497564484409e-01 1.672130359090271412e+00
3.335730088488352976e+03 4.271213161035470662e+00 5.049007671751322146e-01 1.606381647326441620e+00
3.297814669567178498e+03 4.559703684540425961e+00 5.199506446006942895e-01 1.762625901731711631e+00
3.301919537953865984e+03 4.898399208600462629e+00 5.231794150152508927e-01 1.838391615294010961e+00
3.185371999599483388e+03 4.592563974360186485e+00 5.441542707425331971e-01 1.796778363306290371e+00
3.259582733658637153e+03 4.765228704770217760e+00 5.337724461541444310e-01 1.807566519782330960e+00
3.330687059719849458e+03 4.561715370301758554e+00 5.117901835619007578e-01 1.749495783561341611e+00
3.330356222908693326e+03 4.722671923397822269e+00 5.126548187832836723e-01 1.687908192810671171e+00
3.304946018993009602e+03 4.717805468730585261e+00 5.289626316044073739e-01 1.906549175884073577e+00
3.320081027147199165e+03 4.614215917380249721e+00 5.141193402377315369e-01 1.759552519094617296e+00
3.260008116878465444e+03 4.754400628334630952e+00 5.342965407927072752e-01 1.880866541196989594e+00
3.286448943924046944e+03 5.126494309864285448e+00 5.278232461794216679e-01 1.857447760117956204e+00
3.274809766581143776e+03 4.584107433692476974e+00 5.232632266743697524e-01 1.828052737902618574e+00
3.237830621119561329e+03 4.479437285144815206e+00 5.390360151812677580e-01 1.928810674678270054e+00
3.274320192266156937e+03 4.792881449095131252e+00 5.291539344902111974e-01 1.886866220985321752e+00
3.330356222908693326e+03 4.722671923397822269e+00 5.126548187832836723e-01 1.687908192810671171e+00
3.294320851300346931e+03 4.514305086641877907e+00 5.223122554332018108e-01 1.812253764630681996e+00
3.270651573335840112e+03 4.887841211658028762e+00 5.325307598750909088e-01 1.881382621073512951e+00
3.244301078254075946e+03 4.934410681457302772e+00 5.317841332492839745e-01 1.820883125508004685e+00
3.346184098802091739e+03 4.416882542286339586e+00 5.034598281965005917e-01 1.677381652534018830e+00
3.323768688009617108e+03 4.924114878773263371e+00 5.200319356506887258e-01 1.833815677632889551e+00
3.280052871071872232e+03 4.643009523386132820e+00 5.263324853756937705e-01 1.804804785619671836e+00
3.218297724434073189e+03 4.546055673275680498e+00 5.351786242122632542e-01 1.773402973293505491e+00
3.247171146824555763e+03 4.279828794951041182e+00 5.307235675072128345e-01 1.801521399469033557e+00
3.241917184188676401e+03 4.969353211751591282e+00 5.366239301855849630e-01 1.776484679446808324e+00
3.314589413988288470e+03 4.504655766582759568e+00 5.198724862532556612e-01 1.717550123087319358e+00
3.284967949527832388e+03 4.817663478577161484e+00 5.234782670313103958e-01 1.759405464847290324e+00
3.205539440838549126e+03 4.661619635334129264e+00 5.409752763130742936e-01 1.825069647434875098e+00
3.376687679282272256e+03 4.629257865943804617e+00 5.035514242125052053e-01 1.751627243777177600e+00
3.255357188586381199e+03 4.474013718929979788e+00 5.297788461727858111e-01 1.825728074375980725e+00
3.309654460145241956e+03 4.776245248119984410e+00 5.221341402098496065e-01 1.851447691631553649e+00
3.272896890137957598e+03 4.842119781965871894e+00 5.301235810497657575e-01 1.869561785439174395e+00
3.266583525902844030e+03 4.527654060400786662e+00 5.259485795736984493e-01 1.858505958756633270e+00
3.202507794496214956e+03 4.889736207628031295e+00 5.512550230691303232e-01 1.894523086569778414e+00
3.208993808521875508e+03 4.992276869539158390e+00 5.431675594628411208e-01 1.811159175585464798e+00
3.235888195375280702e+03 4.938426907122552834e+00 5.396910758236487249e-01 1.836268965502020123e+00
3.306086668420315618e+03 4.502388950744355967e+00 5.151135639439315961e-01 1.748789489578447043e+00
3.228975969757233997e+03 5.007714096382041014e+00 5.450064138219962162e-01 1.887744462720387872e+00
3.243201118069142467e+03 4.574305279206760666e+00 5.325817247719010217e-01 1.861918951977026282e+00
3.268583879278582572e+03 4.824636973172150789e+00 5.338035577393144271e-01 1.858667697628171522e+00
3.247017654172816037e+03 4.868444325066434430e+00 5.273866679155984061e-01 1.742684938671005490e+00
3.278099041282925555e+03 4.450408769525038721e+00 5.196263506153012690e-01 1.763544139770236718e+00
3.315469720025689639e+03 4.530479309085137629e+00 5.137788153640178157e-01 1.663935509144263580e+00
3.250670553152384400e+03 4.354364248460591114e+00 5.254092610052185641e-01 1.731903676763233646e+00
3.235315312622307829e+03 4.938845135813156872e+00 5.439522895152734128e-01 1.864634481126104859e+00
3.241965641048586804e+03 4.733753165914862393e+00 5.399076465978962514e-01 1.898343549337734970e+00
3.206907894513934480e+03 4.838637281355429920e+00 5.396162903993386717e-01 1.850541583361107190e+00
3.242461369931831086e+03 4.878992431598559776e+00 5.329786790290247378e-01 1.802520713754822257e+00
3.314074025071562573e+03 4.495158756180517301e+00 5.184595751397721441e-01 1.827599970057802947e+00
3.231114184257537545e+03 4.711753970375167633e+00 5.366108684605418455e-01 1.819034622054585437e+00
