weight logl Teff logg R Av
0.000000000000000000e+00 -2.219219118786854669e+07 3.436046906513514841e+03 5.225635776132154575e+00 4.481725573778794214e+00 2.994551150222298119e+00
0.000000000000000000e+00 -2.212734692286354303e+07 2.652670798448268670e+03 4.744681043211711469e+00 4.982666271432273142e+00 1.067425956321235603e+00
0.000000000000000000e+00 -2.192934566378458962e+07 3.162637971985664080e+03 3.118079198625577142e+00 4.403703827838618245e+00 2.638173690567813257e+00
0.000000000000000000e+00 -2.164751509966478124e+07 3.918762159802365204e+03 5.493158445226766773e+00 3.455574506875656926e+00 1.838698188285760038e+00
0.000000000000000000e+00 -2.133502699998543039e+07 2.876427930856132662e+03 3.559373072963924134e+00 4.581999901836621092e+00 1.360956946605013096e+00
0.000000000000000000e+00 -2.132744347212890163e+07 3.154244093973351482e+03 5.269274021450395473e+00 4.971862035493689547e+00 3.150055691922266199e+00
0.000000000000000000e+00 -2.117111548728428409e+07 3.741547610729675398e+03 3.172393330486368512e+00 3.815392393475298682e+00 3.442352699809008154e+00
0.000000000000000000e+00 -2.100661925568862259e+07 2.664973937792799461e+03 4.709387238128162956e+00 4.994658351306959787e+00 1.272705578900760859e+00
0.000000000000000000e+00 -2.048184893143608794e+07 3.559663862629956839e+03 4.892608045429147623e+00 4.487108976900336721e+00 3.895109972815096189e+00
0.000000000000000000e+00 -2.034085716921790317e+07 3.457818865659671246e+03 3.719573828079501876e+00 4.692305503883352991e+00 4.887913358059546631e+00
0.000000000000000000e+00 -2.033331291175366938e+07 3.737058317204160630e+03 3.562695118766932900e+00 3.858286030696077340e+00 3.683686907625495444e+00
0.000000000000000000e+00 -1.960102744506255910e+07 3.627329539992490936e+03 4.763496999890344696e+00 3.315439840036191299e+00 7.863784114714467144e-01
0.000000000000000000e+00 -1.958138301160837337e+07 3.628400213179798811e+03 3.169904799329903433e+00 3.131883287942282212e+00 4.746351743669613432e-01
0.000000000000000000e+00 -1.938513697063114494e+07 2.662336199918261627e+03 4.788127413523772802e+00 4.529636434027787928e+00 4.863282867851886904e-01
0.000000000000000000e+00 -1.934210656697852537e+07 2.935885491016010747e+03 3.226593721263047332e+00 4.677659651763002913e+00 2.425853868012364689e+00
0.000000000000000000e+00 -1.925781777595007420e+07 3.210970328496463935e+03 2.576026844696120754e+00 4.069070401907677770e+00 2.646760329144135504e+00
0.000000000000000000e+00 -1.905084896698570251e+07 3.246587834666830076e+03 3.763987807675748698e+00 4.483139154876929489e+00 3.155878388226325271e+00
0.000000000000000000e+00 -1.897222181172922626e+07 2.522434496930126897e+03 3.753976005959167139e+00 4.975168533173789598e+00 8.026349505926283490e-01
0.000000000000000000e+00 -1.871132932765443623e+07 3.725729608590620046e+03 2.718184000521147947e+00 3.389431318133834914e+00 2.051311816731398618e+00
0.000000000000000000e+00 -1.859276022471631318e+07 3.604988636634469913e+03 3.895367775415783829e+00 3.788230440485761630e+00 2.803205799551572674e+00
0.000000000000000000e+00 -1.849399611855706200e+07 2.712324314058933396e+03 3.074618423897187203e+00 4.719188926189191946e+00 1.480986285187422702e+00
0.000000000000000000e+00 -1.848085553473938629e+07 3.952921128404813771e+03 4.595361614849180931e+00 3.710808912276274629e+00 3.719567094535704666e+00
0.000000000000000000e+00 -1.844632391797153652e+07 3.063325761465168853e+03 4.827645204102270604e+00 4.507405465043603066e+00 2.085752562768879326e+00
0.000000000000000000e+00 -1.822061660983141512e+07 2.368681391940664525e+03 2.630256679097161765e+00 4.911512727936831801e+00 3.266264756865083774e-01
0.000000000000000000e+00 -1.820577651346688345e+07 2.738324322552756712e+03 5.389217288448405974e+00 4.328564097913697672e+00 5.643897764407695972e-01
0.000000000000000000e+00 -1.789058598875963315e+07 3.988217031573681652e+03 3.666420174358293593e+00 3.037072582582168057e+00 1.554400789949942352e+00
0.000000000000000000e+00 -1.763060445800540224e+07 3.064348347080691838e+03 2.512150409652496474e+00 4.189055687035807551e+00 2.669138277591081021e+00
0.000000000000000000e+00 -1.750429472535024956e+07 3.047466951552142291e+03 4.155200847847575929e+00 4.933363975819068159e+00 3.319435535509180468e+00
0.000000000000000000e+00 -1.747503829737914354e+07 2.466977932468906147e+03 4.414449925269938291e+00 4.842619596139009275e+00 6.066846459560942817e-01
0.000000000000000000e+00 -1.729148501152062416e+07 3.940876451996527976e+03 5.131403437792069866e+00 2.874346500374268754e+00 6.609064349005278061e-01
0.000000000000000000e+00 -1.701385725643247738e+07 2.638277317685679463e+03 5.386267932786671153e+00 4.917252935456641438e+00 1.591516745600789040e+00
0.000000000000000000e+00 -1.700665793677114323e+07 3.930418721812845433e+03 5.350922687528113286e+00 3.770923097396337020e+00 3.667379007257350221e+00
0.000000000000000000e+00 -1.693684726591529697e+07 3.400292758198280353e+03 3.599933138970047075e+00 4.357014928413658339e+00 4.292357908181195114e+00
0.000000000000000000e+00 -1.692959462415360659e+07 3.716856119696627502e+03 3.816103887450930543e+00 3.798361675378778557e+00 3.824366702848015720e+00
0.000000000000000000e+00 -1.658019775900107250e+07 3.646645476225493439e+03 3.591612052366697228e+00 3.898100943856668721e+00 4.134385456641198608e+00
0.000000000000000000e+00 -1.657919092558792792e+07 3.594849266162805634e+03 4.771614416216813481e+00 4.248190868119538166e+00 4.089364016887921061e+00
0.000000000000000000e+00 -1.656999983903491311e+07 3.610752304819488018e+03 3.659392077778042207e+00 3.608135891024450981e+00 2.742327245715878714e+00
0.000000000000000000e+00 -1.651432648488507606e+07 3.265415120104505149e+03 2.941660374788373833e+00 3.212871624204756582e+00 1.376120777277445306e-01
0.000000000000000000e+00 -1.650219546666552871e+07 2.651309259122846015e+03 3.622033788498459028e+00 4.697964920931070765e+00 1.144845943122741350e+00
0.000000000000000000e+00 -1.639520850380521268e+07 2.933765622429166797e+03 3.144547743735590206e+00 4.248262576550574821e+00 1.869201340749612861e+00
0.000000000000000000e+00 -1.612836206762221083e+07 3.645945339960434467e+03 4.407993254084595414e+00 3.674835508650441618e+00 2.672993468630898040e+00
0.000000000000000000e+00 -1.596308128406667709e+07 3.790882130950265491e+03 2.661372725043827714e+00 3.423805322994153855e+00 3.035505718122431418e+00
0.000000000000000000e+00 -1.589893200558453426e+07 2.737663394354382035e+03 4.928068785649466932e+00 4.834011625666613021e+00 1.884711046782778787e+00
0.000000000000000000e+00 -1.588455672328848206e+07 3.962489656317584377e+03 5.003622669076886353e+00 2.681091398861148001e+00 2.917922650079635138e-01
0.000000000000000000e+00 -1.579352644505309127e+07 3.953153665932577042e+03 3.836547018504448125e+00 2.789436572448728224e+00 7.512086849713733860e-01
0.000000000000000000e+00 -1.577029864880963229e+07 3.633895081294498596e+03 3.497640487230539552e+00 3.654510752105724958e+00 3.375728035855337872e+00
0.000000000000000000e+00 -1.574679370933231898e+07 3.765002960573022392e+03 3.689608123615080615e+00 2.959425872959533521e+00 8.531468387318408286e-01
0.000000000000000000e+00 -1.574537035000795312e+07 3.450528417649075891e+03 2.552345009626296068e+00 3.424730683930996111e+00 1.950354171033219508e+00
0.000000000000000000e+00 -1.572283941443154775e+07 2.995953493781958059e+03 4.095069570211631316e+00 4.840490794148377240e+00 3.198953557730789043e+00
0.000000000000000000e+00 -1.565622007818223350e+07 3.276901470482771401e+03 2.868782390907366864e+00 3.756263139418426711e+00 2.430558595599109140e+00
0.000000000000000000e+00 -1.558361997414228506e+07 3.393572391505991618e+03 3.475349316155876611e+00 4.359660966846814034e+00 4.717506385069358821e+00
0.000000000000000000e+00 -1.542730070991897956e+07 3.650807345446186901e+03 4.532753865993401909e+00 3.268294507412097705e+00 1.356118618465431247e+00
0.000000000000000000e+00 -1.497338805263452977e+07 2.571159310404009375e+03 5.250270317120853569e+00 4.255618059258312158e+00 1.474485376018136451e-01
0.000000000000000000e+00 -1.472108855255285278e+07 3.423059256838607780e+03 3.431611188236239229e+00 3.950454387519473087e+00 3.702285388750009787e+00
0.000000000000000000e+00 -1.435400341607272811e+07 2.430104694322388696e+03 2.619916712115041957e+00 4.494969896299631174e+00 4.027089628052549219e-01
0.000000000000000000e+00 -1.426516637861216813e+07 2.715160437210682176e+03 4.829821353207981893e+00 4.567985964206954463e+00 1.504154826516208576e+00
0.000000000000000000e+00 -1.415200241951223090e+07 3.232524716846058254e+03 4.822826095221405929e+00 4.189899595883655792e+00 2.678801605422475696e+00
0.000000000000000000e+00 -1.410629424408393912e+07 3.626052372139551153e+03 3.038666111213649934e+00 2.923668550753200535e+00 6.461116767037827779e-01
0.000000000000000000e+00 -1.405765627363763936e+07 3.063276671075623199e+03 5.435574816426417044e+00 3.663027456555254968e+00 6.315246577646516091e-01
0.000000000000000000e+00 -1.389070145748170465e+07 2.915897325686089061e+03 3.994975930457601354e+00 4.019752886070377507e+00 1.139813149269866432e+00
0.000000000000000000e+00 -1.385940586901955120e+07 2.679799951485351812e+03 4.419794481545924469e+00 4.507733233835146791e+00 1.340589898997472496e+00
0.000000000000000000e+00 -1.380982397911668196e+07 2.721354911865130362e+03 4.169462505601805979e+00 4.645980410875591105e+00 1.767495213640256635e+00
0.000000000000000000e+00 -1.372607343934569322e+07 3.215704626374621057e+03 2.946776846363730940e+00 3.351824269122188671e+00 1.020836443352503675e+00
0.000000000000000000e+00 -1.363934549798305705e+07 2.780505658618647885e+03 3.330950580177533205e+00 4.411288755402407169e+00 1.738888492485407555e+00
0.000000000000000000e+00 -1.355542613526882604e+07 2.958976049504129605e+03 3.119150175292056737e+00 4.646695238330050159e+00 3.643874576119454201e+00
0.000000000000000000e+00 -1.352246269555328600e+07 3.151984423044825689e+03 5.192923640830095167e+00 3.791989838608351260e+00 1.344013264420970133e+00
0.000000000000000000e+00 -1.336157047242151015e+07 3.020893700526840803e+03 3.677838088060827015e+00 3.610675580468185153e+00 7.354848589641282963e-01
0.000000000000000000e+00 -1.335569981744060107e+07 3.244678514166242167e+03 3.723975519905970977e+00 4.629131232044016109e+00 4.782329829377236052e+00
0.000000000000000000e+00 -1.331741961032495461e+07 3.969192330542337913e+03 3.092377318139759357e+00 3.359939773701244636e+00 3.999655970259123450e+00
0.000000000000000000e+00 -1.283626211991632357e+07 3.160985688452005888e+03 4.097726909127006323e+00 4.522812806112638917e+00 3.787836383821083786e+00
0.000000000000000000e+00 -1.270143235716396570e+07 3.948134539380196202e+03 4.290022102766069878e+00 3.458850649020835721e+00 4.228728264944817461e+00
0.000000000000000000e+00 -1.263802027572598681e+07 3.172241234038323910e+03 5.399490969691573383e+00 4.688718628512186015e+00 4.113920268677880188e+00
0.000000000000000000e+00 -1.262604759733595140e+07 3.322077821754253819e+03 2.710789620971802982e+00 3.515177994897136227e+00 2.530970107355747345e+00
0.000000000000000000e+00 -1.260681938307719678e+07 2.636045251652682055e+03 4.986759680508074055e+00 4.830763463874630403e+00 2.086994142067215119e+00
