weight logl Teff logg R Av
0.000000000000000000e+00 -3.106110045790631324e+07 5.793307279710694369e-01 9.701195104418284254e-01 8.788149663855832072e-01 1.646440537200527521e-01
0.000000000000000000e+00 -3.045354713565905020e+07 4.629653421418816750e-01 8.493683971255638898e-02 9.538423500417669842e-01 3.534803639583924406e-01
0.000000000000000000e+00 -3.033058724829012901e+07 5.744997311548449836e-01 1.565434770644306139e-01 9.588331486465301312e-01 5.588554242633543279e-01
0.000000000000000000e+00 -2.915471505970133469e+07 5.486617097510915197e-01 6.779543210108939233e-01 8.781529744959279959e-01 1.622513006360608578e-01
0.000000000000000000e+00 -2.914292794514154643e+07 6.252893922479251243e-01 1.180195580477623185e-01 8.134038624707996545e-01 2.721973560493522459e-01
0.000000000000000000e+00 -2.892199837336048111e+07 6.928469786942316189e-01 2.147186926567246079e-01 8.657339570977282683e-01 5.460732708291120563e-01
0.000000000000000000e+00 -2.874721972211602330e+07 8.240722175218654355e-01 5.903627657548236041e-01 9.122107695058112586e-01 7.656686813819311155e-01
0.000000000000000000e+00 -2.868582764008720219e+07 9.889207213147835906e-01 3.536171775998979694e-01 7.919900049118616669e-01 7.512957044450317978e-01
0.000000000000000000e+00 -2.868196942600637302e+07 6.668263673164893657e-01 6.261209137729247809e-01 7.520604479259287434e-01 4.721053007138942270e-02
0.000000000000000000e+00 -2.861866273976430669e+07 4.346224885122604853e-01 9.657300277682772105e-01 9.736404883090367113e-01 2.074542494031702544e-01
0.000000000000000000e+00 -2.788521015414423868e+07 8.191081520429716045e-01 2.666061409908249136e-01 8.504513787378547018e-01 7.377699900891221407e-01
0.000000000000000000e+00 -2.786050328487706557e+07 7.739284182350513186e-01 6.002150720028751607e-01 7.183764790025700675e-01 1.149161835667370513e-01
0.000000000000000000e+00 -2.780430918097456172e+07 5.499918381076374096e-01 4.265450096708556238e-01 9.959860579967783067e-01 4.977202475290313233e-01
0.000000000000000000e+00 -2.758394803169292212e+07 9.706863139279210406e-01 2.460186360479414969e-01 8.411963158002473406e-01 9.367661284432231561e-01
0.000000000000000000e+00 -2.733546650924206153e+07 8.535012120088728560e-01 6.473349293351462475e-01 9.510647047406757260e-01 9.493066760988930763e-01
0.000000000000000000e+00 -2.717087404724648222e+07 9.962389924825026943e-01 5.998912954824316968e-01 7.703191633912691572e-01 6.708091425331954571e-01
0.000000000000000000e+00 -2.667980731728664041e+07 8.097774418089538351e-01 4.682367662495361404e-01 7.373460288157887010e-01 2.816966245814916947e-01
0.000000000000000000e+00 -2.667124604679751024e+07 6.637657446805058647e-01 2.795198283970106168e-01 7.579364921519184950e-01 1.673668057665529396e-01
0.000000000000000000e+00 -2.626204017755091190e+07 5.331217587825961557e-01 6.054348554025478224e-01 8.886208506073499658e-01 2.216196920376148904e-01
0.000000000000000000e+00 -2.599941797946193814e+07 7.394204390734037124e-01 5.179572284091102929e-01 8.181368400857891299e-01 4.025410496033926533e-01
0.000000000000000000e+00 -2.586298626406015828e+07 8.408615457268935334e-01 1.801469239668885836e-01 7.129124108913105218e-01 3.122235432065841865e-01
0.000000000000000000e+00 -2.563757822765483707e+07 6.782392656059024194e-01 5.209111167252875596e-01 9.484688117508682792e-01 6.561207811304288207e-01
